ma_geo_id	ma_vote_id	ctyvtd	statefp10	countyfp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	recordno	logrecno	county	vtd	name	precinct_code	town	prec_number	citizen	democrat	green	independent	libertarian	npa	other	reform	republican	unknown	total	dem_pct	vap	pop100
1134	"938"	"17 3131"	25	17	"3131"	"250173131"	"A"	"Holliston Precinct 4"	"Holliston Precinct 4"	0	"G5240"	"N"	11181275	606679	42.181614	-71.43686	70000000	115898	17	"3131"	"Holliston Precinct 4"	"HOLLISTON-004"	"HOLLISTON"	"4"	"0"	"609"	"0"	"0"	"3"	"1333"	"8"	"0"	"392"	"0"	"2345"	"0.608391583"	2381	3253
1135	"954"	"17 3132"	25	17	"3132"	"250173132"	"A"	"Hopkinton Precinct 1"	"Hopkinton Precinct 1"	0	"G5240"	"N"	16070812	172277	42.22674	-71.491455	70000000	116006	17	"3132"	"Hopkinton Precinct 1"	"HOPKINTON-001"	"HOPKINTON"	"1"	"0"	"571"	"0"	"0"	"1"	"1262"	"4"	"0"	"458"	"0"	"2296"	"0.55490768"	2386	3597
1136	"955"	"17 3133"	25	17	"3133"	"250173133"	"A"	"Hopkinton Precinct 2"	"Hopkinton Precinct 2"	0	"G5240"	"N"	16925453	650944	42.233265	-71.52941	70000000	116083	17	"3133"	"Hopkinton Precinct 2"	"HOPKINTON-002"	"HOPKINTON"	"2"	"0"	"617"	"0"	"0"	"2"	"1393"	"4"	"0"	"523"	"0"	"2539"	"0.541228056"	2826	4050
1137	"956"	"17 3134"	25	17	"3134"	"250173134"	"A"	"Hopkinton Precinct 3"	"Hopkinton Precinct 3"	0	"G5240"	"N"	17242447	954259	42.212414	-71.54412	70000000	116207	17	"3134"	"Hopkinton Precinct 3"	"HOPKINTON-003"	"HOPKINTON"	"3"	"0"	"584"	"0"	"1"	"2"	"1473"	"4"	"0"	"430"	"0"	"2494"	"0.575936854"	2552	3700
1138	"957"	"17 3135"	25	17	"3135"	"250173135"	"A"	"Hopkinton Precinct 4"	"Hopkinton Precinct 4"	0	"G5240"	"N"	17778084	2437576	42.23055	-71.577736	70000000	116318	17	"3135"	"Hopkinton Precinct 4"	"HOPKINTON-004"	"HOPKINTON"	"4"	"0"	"477"	"0"	"0"	"5"	"1218"	"8"	"0"	"541"	"0"	"2249"	"0.468565822"	2391	3578
1139	"959"	"17 3136"	25	17	"3136"	"250173136"	"A"	"Hudson Precinct 1"	"Hudson Precinct 1"	0	"G5240"	"N"	4415237	177430	42.379948	-71.58806	70000000	116430	17	"3136"	"Hudson Precinct 1"	"HUDSON-001"	"HUDSON"	"1"	"0"	"458"	"0"	"0"	"2"	"1223"	"9"	"0"	"210"	"0"	"1902"	"0.685628772"	2165	2708
1140	"960"	"17 3137"	25	17	"3137"	"250173137"	"A"	"Hudson Precinct 2"	"Hudson Precinct 2"	0	"G5240"	"N"	2500869	10045	42.400566	-71.58425	70000000	116522	17	"3137"	"Hudson Precinct 2"	"HUDSON-002"	"HUDSON"	"2"	"0"	"444"	"0"	"0"	"4"	"1014"	"4"	"0"	"232"	"0"	"1698"	"0.65680474"	2240	2950
1141	"961"	"17 3138"	25	17	"3138"	"250173138"	"A"	"Hudson Precinct 3"	"Hudson Precinct 3"	0	"G5240"	"N"	2189396	5669	42.407394	-71.564026	70000000	116584	17	"3138"	"Hudson Precinct 3"	"HUDSON-003"	"HUDSON"	"3"	"0"	"447"	"0"	"0"	"2"	"1153"	"7"	"0"	"173"	"0"	"1782"	"0.72096777"	1961	2535
1142	"962"	"17 3139"	25	17	"3139"	"250173139"	"A"	"Hudson Precinct 4"	"Hudson Precinct 4"	0	"G5240"	"N"	12300152	376821	42.388325	-71.515	70000000	116632	17	"3139"	"Hudson Precinct 4"	"HUDSON-004"	"HUDSON"	"4"	"0"	"434"	"0"	"1"	"0"	"1313"	"16"	"0"	"288"	"0"	"2052"	"0.601108015"	2145	2881
1143	"963"	"17 3140"	25	17	"3140"	"250173140"	"A"	"Hudson Precinct 5"	"Hudson Precinct 5"	0	"G5240"	"N"	4769704	246737	42.38213	-71.554146	70000000	116777	17	"3140"	"Hudson Precinct 5"	"HUDSON-005"	"HUDSON"	"5"	"0"	"426"	"0"	"0"	"1"	"1331"	"9"	"0"	"235"	"0"	"2002"	"0.644478083"	2150	2706
